"""Plant"""STR:0PLANT|"""Material"""MAT:0MATERIAL|"""Calendar Day"""CALDAY:0CALDAY|"""Sal Qty"""SALEQTY:0CPBAINSABU|"""Sal Ret Val"""SALERET:0RTBAINSASV|"""Sal Ret with Tax"""GROSSVAL:0RTBAINSAST|"""Sal Cost Val"""COSTVAL:0CPBAINSAPV|"""Net Margin"""NETMARGIN:0RTBAINSASV
DC13|000000000001008699|20200219|10.000 |255.10 |255.10 |250.00 |5.10 
FL01|000000000001008699|20200219|28.260 |1314.60 |1314.60 |840.74 |473.86 
FL02|000000000001008699|20200219|5.820 |272.20 |272.20 |278.96 |6.76-
FL03|000000000001008699|20200219|13.180 |638.00 |638.00 |498.07 |139.93 
FL04|000000000001008699|20200219|4.970 |219.29 |219.29 |265.90 |46.61-
FL05|000000000001008699|20200219|13.330 |383.10 |383.10 |239.27 |143.83 
FL06|000000000001008699|20200219|9.600 |267.30 |267.30 |189.89 |77.41 
FL09|000000000001008699|20200219|9.540 |273.80 |273.80 |174.29 |99.51 
FL10|000000000001008699|20200219|1.880 |52.40 |52.40 |32.69 |19.71 
FL12|000000000001008699|20200219|0.540 |16.40 |16.40 |11.79 |4.61 
FL18|000000000001008699|20200219|17.310 |913.20 |913.20 |767.35 |145.85 
FL19|000000000001008699|20200219|3.790 |213.50 |213.50 |132.95 |80.55 
SM01|000000000001008699|20200219|76.252 |1677.55 |1677.55 |1217.73 |459.82 
SM02|000000000001008699|20200219|42.288 |1578.07 |1578.07 |1088.55 |489.52 
SM03|000000000001008699|20200219|79.404 |1746.97 |1746.97 |1270.49 |476.48 
SM04|000000000001008699|20200219|117.819 |2591.93 |2591.93 |1885.07 |706.86 
SM06|000000000001008699|20200219|56.540 |1243.88 |1243.88 |901.82 |342.06 
SM08|000000000001008699|20200219|93.568 |2058.46 |2058.46 |1494.21 |564.25 
SM09|000000000001008699|20200219|55.995 |1231.88 |1231.88 |895.39 |336.49 
SM11|000000000001008699|20200219|30.706 |1197.56 |1197.56 |788.22 |409.34 
