"""Plant"""STR;0PLANT|"""Material"""MAT;0MATERIAL|"""Calday"""CALDAY;0CALDAY|"""R001/B001 Stock"""STOCK;ZSTOCK
CC01|000000000001025624|20200215|2.000 
CC01|000000000001267129|20200215|4.000 
DC09|000000000001008721|20200215|84.000 
DC09|000000000001069475|20200215|2134.000 
DC09|000000000001338524|20200215|2.000 
DC09|000000000001338538|20200215|29.000 
DC09|000000000001348809|20200215|5.000 
DC13|000000000001026048|20200215|11.500 
DC13|000000000001306074|20200215|37.000 
DC13|000000000001259970|20200215|1527.500 
EC08|000000000001026048|20200215|2.000 
EC01|000000000001008766|20200215|1.000 
EC02|000000000001008887|20200215|1.000-
EC02|000000000001008906|20200215|1.000-
EC02|000000000001018612|20200215|1.000-
SM02|000000000001336494|20200215|25.000 
SM02|000000000001336495|20200215|14.000 
SM02|000000000001337946|20200215|1.000 
SM02|000000000001008713|20200215|36.984 
SM02|000000000001008887|20200215|8.574 
SM02|000000000001008902|20200215|4.580 
SM02|000000000001292556|20200215|9.000 
SM01|000000000001337938|20200215|11.000-
SM02|000000000001356751|20200215|1.000-
SM02|000000000001358047|20200215|9.000 
SM02|000000000001030539|20200215|9.544 
SM02|000000000001036516|20200215|2.814 
SM02|000000000001306362|20200215|15.000 
SM02|000000000001306417|20200215|50.000 
SM02|000000000001306846|20200215|14.000 
SM02|000000000001051951|20200215|7.000 
SM02|000000000001349369|20200215|1.000-
SM01|000000000001356750|20200215|6.000-
SM01|000000000001359559|20200215|1.000-
FL12|000000000001008760|20200215|0.970-
FL12|000000000001008788|20200215|0.200-
FL12|000000000001008791|20200215|0.030-
FL12|000000000001036561|20200215|3.000 
FL07|000000000001008715|20200215|0.410-
FL12|000000000001172641|20200215|1.010-
FL07|000000000001036516|20200215|0.620-
FL18|000000000001008699|20200215|53.040-
FL18|000000000001008725|20200215|3.510-
FL18|000000000001008733|20200215|11.790-
FL18|000000000001008740|20200215|5.100-
FL18|000000000001008757|20200215|3.980-
