"""Plant"""STR;0PLANT|"""Material"""MAT;0MATERIAL|"""Calday"""CALDAY;0CALDAY|"""R001/B001 Stock"""STOCK;ZSTOCK
SM01|000000000001337938|20200214|11.000-
SM01|000000000001356750|20200214|6.000-
SM01|000000000001359559|20200214|1.000-
SM02|000000000001036516|20200214|2.456 
SM02|000000000001051951|20200214|7.000 
SM02|000000000001008713|20200214|22.328 
SM02|000000000001008887|20200214|0.676 
SM02|000000000001008902|20200214|6.116 
SM02|000000000001030539|20200214|4.456-
SM02|000000000001306362|20200214|5.000 
SM02|000000000001306417|20200214|38.000 
SM02|000000000001306846|20200214|4.000 
SM02|000000000001292556|20200214|9.000 
SM02|000000000001356751|20200214|1.000-
SM02|000000000001336494|20200214|25.000 
SM02|000000000001336495|20200214|16.000 
SM02|000000000001337946|20200214|1.000 
SM02|000000000001349369|20200214|1.000-
SM02|000000000001358047|20200214|9.000 
FL04|000000000001008704|20200214|46.930-
FL04|000000000001008902|20200214|0.610-
FL04|000000000001008932|20200214|18.750-
FL04|000000000001013615|20200214|0.010-
FL04|000000000001026389|20200214|1.000 
FL04|000000000001052169|20200214|23.000 
FL04|000000000001069494|20200214|0.070-
FL04|000000000001219388|20200214|8.000 
FL04|000000000001274778|20200214|0.555-
FL03|000000000001299095|20200214|1.000 
FL03|000000000001306848|20200214|1.000 
FL03|000000000001307023|20200214|1.000 
FL05|000000000001008756|20200214|0.290-
FL05|000000000001008783|20200214|14.820-
FL05|000000000001008911|20200214|10.060-
FL05|000000000001008930|20200214|0.020-
FL05|000000000001008939|20200214|1.400 
FL05|000000000001008944|20200214|1.850-
FL04|000000000001306072|20200214|2.000 
FL04|000000000001306075|20200214|1.000 
FL04|000000000001306438|20200214|2.000 
FL04|000000000001325412|20200214|0.250 
FL05|000000000001028699|20200214|29.000 
FL02|000000000001306420|20200214|1.000 
FL02|000000000001306462|20200214|5.000 
FL05|000000000001051964|20200214|1.000 
FL05|000000000001069484|20200214|0.030-
FL05|000000000001069494|20200214|0.440-
DC13|000000000001306074|20200214|37.000 
FL03|000000000001008725|20200214|5.720-
FL03|000000000001008740|20200214|16.920-
FL03|000000000001008821|20200214|4.280-
FL03|000000000001013373|20200214|0.270-
FL03|000000000001018680|20200214|1.570-
FL03|000000000001018823|20200214|32.890-
FL03|000000000001028375|20200214|2.960-
FL03|000000000001036534|20200214|6.090-
FL03|000000000001051951|20200214|5.000 
FL02|000000000001069494|20200214|1.190-
FL01|000000000001293440|20200214|208.000 
FL01|000000000001293529|20200214|1.000 
FL01|000000000001306031|20200214|39.000 
FL01|000000000001306462|20200214|7.000 
DC13|000000000001259970|20200214|1527.500 
FL01|000000000001008719|20200214|273.470-
FL01|000000000001008726|20200214|12.960-
FL01|000000000001008740|20200214|48.790 
FL01|000000000001008909|20200214|16.310 
DC13|000000000001026048|20200214|86.500 
FL01|000000000001013386|20200214|0.040-
FL01|000000000001018598|20200214|1609.000 
FL01|000000000001034290|20200214|13.910-
CC01|000000000001025624|20200214|2.000 
CC01|000000000001267129|20200214|4.000 
DC09|000000000001008721|20200214|84.000 
DC09|000000000001069475|20200214|3219.200 
DC09|000000000001338524|20200214|2.000 
DC09|000000000001338538|20200214|29.000 
DC09|000000000001348809|20200214|5.000 
FL02|000000000001008726|20200214|2.910-
FL02|000000000001008727|20200214|0.330-
FL02|000000000001008756|20200214|4.080-
FL02|000000000001008760|20200214|0.770-
FL02|000000000001008788|20200214|11.090-
FL02|000000000001008815|20200214|0.250-
FL02|000000000001008922|20200214|0.330 
FL02|000000000001008940|20200214|0.130 
FL02|000000000001013393|20200214|6.770-
FL02|000000000001018245|20200214|2.264 
FL01|000000000001260302|20200214|1.000 
FL02|000000000001036515|20200214|0.130-
EC01|000000000001008766|20200214|1.000 
EC02|000000000001008887|20200214|1.000-
EC02|000000000001008906|20200214|1.000-
EC02|000000000001018612|20200214|1.000-
EC08|000000000001026048|20200214|2.000 
SD23|000000000001036562|20200214|2.000-
SM01|000000000001008707|20200214|2.596 
SM01|000000000001008717|20200214|0.816 
SM01|000000000001008742|20200214|15.532 
SM01|000000000001008753|20200214|10.296 
SM01|000000000001008904|20200214|1.900 
SM01|000000000001018598|20200214|126.000 
SM01|000000000001018683|20200214|149.000 
FL09|000000000001008705|20200214|30.630-
FL09|000000000001008725|20200214|3.990-
FL18|000000000001034289|20200214|1.330 
FL18|000000000001036515|20200214|2.790-
SD23|000000000001008772|20200214|2.000-
SD23|000000000001008864|20200214|6.000 
FL09|000000000001008753|20200214|5.790-
FL09|000000000001008821|20200214|1.850-
FL09|000000000001008822|20200214|1.060-
