"""Plant"""STR;0PLANT|"""Material"""MAT;0MATERIAL|"""Calday"""CALDAY;0CALDAY|"""R001/B001 Stock"""STOCK;ZSTOCK
CC01|000000000001025624|20200218|2.000 
CC01|000000000001267129|20200218|4.000 
DC09|000000000001008721|20200218|84.000 
DC09|000000000001069475|20200218|37.500 
DC09|000000000001338524|20200218|2.000 
DC09|000000000001338538|20200218|29.000 
DC09|000000000001348809|20200218|5.000 
DC13|000000000001026048|20200218|1109.500 
DC13|000000000001027694|20200218|123.000 
DC13|000000000001028698|20200218|460.000 
DC13|000000000001008792|20200218|7.000 
DC13|000000000001008821|20200218|13.000 
DC13|000000000001259970|20200218|1527.500 
DC13|000000000001306074|20200218|37.000 
EC01|000000000001008766|20200218|1.000 
EC02|000000000001008887|20200218|1.000-
EC02|000000000001008906|20200218|1.000-
EC02|000000000001018612|20200218|1.000-
FL03|000000000001008725|20200218|6.160-
FL03|000000000001008740|20200218|19.640-
EC08|000000000001026048|20200218|2.000 
FL03|000000000001008821|20200218|7.020-
FL03|000000000001013373|20200218|0.270-
FL03|000000000001018680|20200218|2.280-
FL03|000000000001018823|20200218|52.820-
FL01|000000000001008719|20200218|129.400-
FL01|000000000001008726|20200218|8.300-
FL01|000000000001008740|20200218|52.070 
FL01|000000000001008909|20200218|16.310 
FL03|000000000001306848|20200218|1.000 
FL03|000000000001307023|20200218|1.000 
FL01|000000000001034290|20200218|10.600-
FL01|000000000001013386|20200218|0.070-
FL01|000000000001018598|20200218|1752.000 
FL03|000000000001028375|20200218|2.960-
FL03|000000000001036534|20200218|6.090-
FL03|000000000001051951|20200218|4.000 
FL03|000000000001299095|20200218|1.000 
SM03|000000000001018598|20200218|80.000 
SM03|000000000001051952|20200218|3.000 
SM02|000000000001008902|20200218|6.072 
SM02|000000000001030539|20200218|4.782-
SM02|000000000001036516|20200218|2.402 
SM03|000000000001008729|20200218|0.548 
SM03|000000000001008746|20200218|2.486 
SM03|000000000001008793|20200218|3.950 
SM03|000000000001008871|20200218|13.962 
SM03|000000000001013386|20200218|4.300 
SM03|000000000001013393|20200218|97.904 
SM02|000000000001292556|20200218|9.000 
SM01|000000000001356750|20200218|6.000-
SM01|000000000001359559|20200218|1.000-
SM02|000000000001306362|20200218|10.000 
SM02|000000000001306417|20200218|28.000 
SM02|000000000001306846|20200218|14.000 
SM02|000000000001051951|20200218|13.000 
SM02|000000000001008713|20200218|23.342 
