"""Plant"""STR;0PLANT|"""Material"""MAT;0MATERIAL|"""Calday"""CALDAY;0CALDAY|"""R001/B001 Stock"""STOCK;ZSTOCK
CC01|000000000001025624|20200220|2.000 
CC01|000000000001267129|20200220|4.000 
DC09|000000000001008699|20200220|330.000 
DC09|000000000001008721|20200220|1396.000 
DC09|000000000001008746|20200220|20.000 
DC09|000000000001008753|20200220|150.000 
DC09|000000000001008867|20200220|1275.000 
DC09|000000000001018683|20200220|1029.000 
DC09|000000000001172599|20200220|6.000 
DC09|000000000001338524|20200220|2.000 
DC09|000000000001338538|20200220|29.000 
DC09|000000000001348809|20200220|5.000 
DC13|000000000001026048|20200220|1001.500 
DC13|000000000001028698|20200220|67.000 
SM02|000000000001306362|20200220|9.000 
SM02|000000000001306417|20200220|34.000 
SM02|000000000001292556|20200220|9.000 
DC13|000000000001306074|20200220|37.000 
SM02|000000000001306846|20200220|1.000 
DC13|000000000001259970|20200220|1527.500 
FL02|000000000001306420|20200220|1.000 
FL02|000000000001306462|20200220|5.000 
FL03|000000000001008725|20200220|6.990-
FL03|000000000001008740|20200220|17.740-
FL03|000000000001008821|20200220|4.680-
SM02|000000000001337946|20200220|1.000 
FL03|000000000001013373|20200220|0.270-
FL03|000000000001018680|20200220|1.670-
FL03|000000000001018823|20200220|35.510-
FL03|000000000001028375|20200220|2.960-
FL03|000000000001036534|20200220|6.090-
FL03|000000000001051951|20200220|5.000 
SM02|000000000001336494|20200220|22.000 
SM02|000000000001336495|20200220|13.000 
SM02|000000000001356751|20200220|1.000-
SM02|000000000001358047|20200220|9.000 
SM02|000000000001349369|20200220|1.000-
FL03|000000000001299095|20200220|1.000 
FL03|000000000001306848|20200220|1.000 
FL03|000000000001307023|20200220|1.000 
FL04|000000000001219388|20200220|8.000 
FL04|000000000001274778|20200220|0.565-
FL04|000000000001008704|20200220|48.860-
FL04|000000000001008902|20200220|0.640-
FL04|000000000001008932|20200220|18.550-
FL04|000000000001013615|20200220|0.010-
FL04|000000000001026389|20200220|1.000 
FL04|000000000001037003|20200220|1.000 
FL04|000000000001052169|20200220|23.000 
FL04|000000000001069494|20200220|0.070-
FL04|000000000001306072|20200220|2.000 
FL04|000000000001306075|20200220|1.000 
FL04|000000000001306438|20200220|2.000 
FL04|000000000001325412|20200220|0.250 
FL05|000000000001008756|20200220|0.370-
FL05|000000000001008783|20200220|15.110-
FL05|000000000001008911|20200220|10.060-
FL05|000000000001008930|20200220|0.020-
FL05|000000000001008939|20200220|1.400 
FL05|000000000001008944|20200220|2.010-
