"""Plant"""STR;0PLANT|"""Material"""MAT;0MATERIAL|"""Calday"""CALDAY;0CALDAY|"""R001/B001 Stock"""STOCK;ZSTOCK
CC01|000000000001025624|20200216|2.000 
CC01|000000000001267129|20200216|4.000 
DC09|000000000001008721|20200216|84.000 
DC09|000000000001069475|20200216|851.300 
DC09|000000000001338524|20200216|2.000 
DC09|000000000001338538|20200216|29.000 
DC09|000000000001348809|20200216|5.000 
DC13|000000000001026048|20200216|11.500 
DC13|000000000001306074|20200216|37.000 
DC13|000000000001259970|20200216|1527.500 
EC01|000000000001008766|20200216|1.000 
EC02|000000000001008887|20200216|1.000-
EC02|000000000001008906|20200216|1.000-
EC02|000000000001018612|20200216|1.000-
EC08|000000000001026048|20200216|2.000 
SM01|000000000001337938|20200216|11.000-
SM02|000000000001030539|20200216|4.782-
SM02|000000000001036516|20200216|2.772 
SM02|000000000001306362|20200216|12.000 
SM02|000000000001306417|20200216|40.000 
SM02|000000000001306846|20200216|19.000 
SM02|000000000001051951|20200216|11.000 
SM01|000000000001356750|20200216|6.000-
SM01|000000000001359559|20200216|1.000-
SM02|000000000001336494|20200216|25.000 
SM02|000000000001336495|20200216|13.000 
SM02|000000000001337946|20200216|1.000 
SM02|000000000001008713|20200216|38.034 
SM02|000000000001008887|20200216|13.608 
SM02|000000000001008902|20200216|9.580 
SM02|000000000001292556|20200216|9.000 
FL01|000000000001306031|20200216|39.000 
FL01|000000000001306462|20200216|7.000 
SM02|000000000001349369|20200216|1.000-
SM02|000000000001356751|20200216|1.000-
SM02|000000000001358047|20200216|9.000 
FL01|000000000001008719|20200216|121.000-
FL01|000000000001008726|20200216|7.870-
FL01|000000000001008740|20200216|52.600 
FL01|000000000001008909|20200216|16.310 
FL01|000000000001013386|20200216|0.040-
FL01|000000000001018598|20200216|1747.000 
FL01|000000000001034290|20200216|9.690-
FL01|000000000001260302|20200216|1.000 
FL01|000000000001293440|20200216|208.000 
FL01|000000000001293529|20200216|1.000 
FL04|000000000001008704|20200216|48.820-
FL04|000000000001219388|20200216|8.000 
FL04|000000000001274778|20200216|0.555-
FL04|000000000001306072|20200216|2.000 
FL04|000000000001306075|20200216|1.000 
FL04|000000000001306438|20200216|2.000 
FL04|000000000001325412|20200216|0.250 
FL03|000000000001008725|20200216|6.160-
FL03|000000000001008740|20200216|18.220-
FL03|000000000001008821|20200216|5.470-
FL05|000000000001008756|20200216|0.320-
FL03|000000000001013373|20200216|0.270-
FL05|000000000001008783|20200216|14.590-
FL05|000000000001008911|20200216|10.060-
FL05|000000000001008930|20200216|0.020-
FL05|000000000001008939|20200216|1.400 
FL05|000000000001008944|20200216|1.850-
FL03|000000000001018680|20200216|2.290-
FL03|000000000001018823|20200216|45.100-
FL03|000000000001028375|20200216|2.960-
FL03|000000000001036534|20200216|6.090-
FL03|000000000001051951|20200216|5.000 
FL02|000000000001008726|20200216|2.970-
FL02|000000000001008727|20200216|0.330-
FL02|000000000001008756|20200216|3.430-
FL02|000000000001008760|20200216|0.770-
FL02|000000000001008788|20200216|11.940-
FL02|000000000001008815|20200216|0.280-
FL03|000000000001299095|20200216|1.000 
FL02|000000000001008922|20200216|0.330 
FL02|000000000001008940|20200216|0.130 
FL02|000000000001013393|20200216|0.796-
FL02|000000000001018245|20200216|2.264 
FL03|000000000001306848|20200216|1.000 
FL03|000000000001307023|20200216|1.000 
FL02|000000000001036515|20200216|0.130-
FL02|000000000001069494|20200216|1.190-
FL04|000000000001008902|20200216|0.620-
FL04|000000000001008932|20200216|18.940-
FL04|000000000001013615|20200216|0.010-
FL04|000000000001026389|20200216|1.000 
FL02|000000000001306420|20200216|1.000 
FL02|000000000001306462|20200216|5.000 
FL04|000000000001052169|20200216|23.000 
FL04|000000000001069494|20200216|0.070-
FL12|000000000001008760|20200216|0.970-
FL12|000000000001008788|20200216|0.240-
FL12|000000000001008791|20200216|0.030-
FL12|000000000001036561|20200216|3.000 
SM01|000000000001018598|20200216|191.000 
SM01|000000000001018683|20200216|258.000 
FL07|000000000001008715|20200216|0.410-
FL12|000000000001172641|20200216|1.010-
FL07|000000000001036516|20200216|0.620-
FL18|000000000001008699|20200216|54.510-
FL18|000000000001008725|20200216|3.530-
FL18|000000000001008733|20200216|11.950-
FL18|000000000001008740|20200216|5.180-
FL18|000000000001008757|20200216|3.980-
FL18|000000000001008780|20200216|0.790-
FL08|000000000001008716|20200216|1.630-
FL08|000000000001008722|20200216|0.260-
FL08|000000000001008760|20200216|1.830-
FL18|000000000001034289|20200216|1.330 
FL18|000000000001036515|20200216|5.210-
FL08|000000000001013375|20200216|1.290-
FL08|000000000001018612|20200216|3.940-
FL08|000000000001036527|20200216|9.560-
FL08|000000000001059050|20200216|0.100-
FL09|000000000001008705|20200216|32.440-
FL09|000000000001008725|20200216|4.200-
FL09|000000000001008753|20200216|10.590-
FL09|000000000001008821|20200216|1.750-
FL09|000000000001008822|20200216|1.830-
FL18|000000000001172641|20200216|7.360-
FL09|000000000001008899|20200216|0.970 
FL09|000000000001008941|20200216|0.240-
FL05|000000000001028699|20200216|30.000 
FL05|000000000001051964|20200216|1.000 
FL05|000000000001069484|20200216|0.030-
FL05|000000000001069494|20200216|0.440-
FL09|000000000001172641|20200216|3.120-
FL19|000000000001008727|20200216|0.050-
FL19|000000000001008742|20200216|9.710-
FL19|000000000001008821|20200216|0.260-
FL19|000000000001025624|20200216|1.000-
FL19|000000000001034289|20200216|0.240-
FL19|000000000001036515|20200216|1.350-
FL10|000000000001008700|20200216|81.590-
FL10|000000000001008708|20200216|13.210-
FL10|000000000001008737|20200216|0.160 
FL10|000000000001008741|20200216|4.770-
FL10|000000000001008762|20200216|13.480-
HB02|000000000001008828|20200216|5.800 
HB02|000000000001008880|20200216|34.554 
HB02|000000000001259970|20200216|16.470 
HB02|000000000001347215|20200216|50.000 
HB04|000000000001034290|20200216|10.000 
HB04|000000000001267129|20200216|10.000 
FL05|000000000001350328|20200216|1.000 
FL10|000000000001018826|20200216|3.300-
FL10|000000000001043321|20200216|27.250-
FL06|000000000001008765|20200216|4.990-
FL06|000000000001008780|20200216|2.270-
FL06|000000000001008884|20200216|0.510-
FL06|000000000001008888|20200216|0.490-
SD23|000000000001008772|20200216|2.000-
SD23|000000000001008864|20200216|4.000 
SM01|000000000001008707|20200216|6.492 
SM01|000000000001008717|20200216|2.714 
SM01|000000000001008742|20200216|22.336 
SM01|000000000001008753|20200216|101.688 
FL06|000000000001018827|20200216|6.735-
FL06|000000000001036516|20200216|0.060 
FL10|000000000001325500|20200216|2.000-
SM01|000000000001008904|20200216|3.602-
FL06|000000000001283326|20200216|0.070-
FL11|000000000001008763|20200216|0.950-
FL11|000000000001008788|20200216|0.230-
FL11|000000000001008898|20200216|0.030-
FL11|000000000001008934|20200216|1.100 
SD23|000000000001036562|20200216|2.000-
FL06|000000000001306037|20200216|2.000 
FL06|000000000001325781|20200216|1.000 
FL11|000000000001013375|20200216|0.220-
FL11|000000000001018598|20200216|4.000 
FL11|000000000001043321|20200216|1.240-
FL12|000000000001008708|20200216|7.780-
FL12|000000000001008726|20200216|1.240-
SM12|000000000001314631|20200216|20.000 
SM13|000000000001008713|20200216|27.896 
SM13|000000000001298357|20200216|8.000 
SM13|000000000001008821|20200216|5.341 
SM13|000000000001008887|20200216|116.739 
SM13|000000000001008890|20200216|6.280 
SM13|000000000001008899|20200216|14.807 
SM12|000000000001034289|20200216|10.460 
SM13|000000000001013393|20200216|163.085 
SM13|000000000001018826|20200216|15.431 
SM12|000000000001069475|20200216|0.702 
SM11|000000000001365660|20200216|1.000-
