"""Plant"""STR;0PLANT|"""Material"""MAT;0MATERIAL|"""Calday"""CALDAY;0CALDAY|"""R001/B001 Stock"""STOCK;ZSTOCK
FL02|000000000001306420|20200219|1.000 
FL02|000000000001306462|20200219|5.000 
FL03|000000000001008725|20200219|5.760-
FL03|000000000001299095|20200219|1.000 
FL03|000000000001306848|20200219|1.000 
FL03|000000000001307023|20200219|1.000 
FL03|000000000001008740|20200219|19.230-
FL03|000000000001008821|20200219|5.300-
FL03|000000000001013373|20200219|0.270-
FL03|000000000001018680|20200219|2.300-
FL03|000000000001018823|20200219|34.550-
FL03|000000000001028375|20200219|2.960-
FL03|000000000001036534|20200219|6.090-
FL03|000000000001051951|20200219|4.000 
FL04|000000000001008704|20200219|64.440-
FL04|000000000001008902|20200219|0.640-
FL04|000000000001008932|20200219|19.020-
FL04|000000000001013615|20200219|0.010-
FL04|000000000001037003|20200219|1.000 
FL04|000000000001052169|20200219|19.000 
FL05|000000000001028699|20200219|27.000 
FL05|000000000001051964|20200219|1.000 
FL04|000000000001069494|20200219|0.070-
FL04|000000000001219388|20200219|1.000-
FL04|000000000001274778|20200219|0.555-
FL04|000000000001306072|20200219|2.000 
FL04|000000000001306075|20200219|1.000 
FL04|000000000001306438|20200219|2.000 
FL04|000000000001325412|20200219|0.250 
FL05|000000000001008756|20200219|0.370-
FL05|000000000001008783|20200219|17.610-
FL05|000000000001008911|20200219|10.060-
FL05|000000000001008930|20200219|0.020-
FL05|000000000001008939|20200219|1.400 
FL05|000000000001008944|20200219|2.010-
FL05|000000000001350328|20200219|1.000 
FL06|000000000001008765|20200219|6.000-
FL06|000000000001008780|20200219|2.820-
FL06|000000000001008884|20200219|0.510-
FL06|000000000001008888|20200219|0.490-
FL05|000000000001069484|20200219|0.030-
FL05|000000000001069494|20200219|0.440-
FL08|000000000001008716|20200219|1.630-
FL08|000000000001008722|20200219|0.260-
FL08|000000000001008760|20200219|1.830-
FL08|000000000001013375|20200219|1.290-
FL08|000000000001018612|20200219|3.940-
FL08|000000000001036527|20200219|9.560-
FL08|000000000001059050|20200219|0.100-
FL06|000000000001018827|20200219|6.795-
FL06|000000000001036516|20200219|0.060 
FL06|000000000001283326|20200219|0.070-
FL06|000000000001306037|20200219|2.000 
FL06|000000000001325781|20200219|1.000 
FL07|000000000001008715|20200219|0.410-
FL07|000000000001036516|20200219|0.620-
FL09|000000000001172641|20200219|3.120-
FL10|000000000001008700|20200219|77.970-
FL10|000000000001008708|20200219|12.890-
FL10|000000000001008737|20200219|0.160 
FL10|000000000001008741|20200219|4.540-
FL10|000000000001008762|20200219|13.220-
FL10|000000000001018826|20200219|3.770-
FL09|000000000001008705|20200219|31.150-
FL09|000000000001008725|20200219|3.430-
FL09|000000000001008753|20200219|6.490-
FL09|000000000001008821|20200219|1.660-
FL09|000000000001008822|20200219|1.100-
FL09|000000000001008899|20200219|0.920 
FL09|000000000001008941|20200219|0.240-
FL10|000000000001043321|20200219|25.640-
FL11|000000000001008763|20200219|0.950-
FL11|000000000001008788|20200219|0.230-
FL11|000000000001008898|20200219|0.030-
FL11|000000000001008934|20200219|1.100 
FL11|000000000001013375|20200219|0.220-
FL11|000000000001018598|20200219|4.000 
FL11|000000000001043321|20200219|1.240-
FL12|000000000001008708|20200219|8.210-
CC01|000000000001025624|20200219|2.000 
CC01|000000000001267129|20200219|4.000 
DC09|000000000001008721|20200219|75.000 
DC09|000000000001338524|20200219|2.000 
DC09|000000000001338538|20200219|29.000 
DC09|000000000001348809|20200219|5.000 
FL12|000000000001008726|20200219|1.240-
FL12|000000000001008760|20200219|1.030-
FL12|000000000001008788|20200219|0.240-
FL12|000000000001008791|20200219|0.030-
FL12|000000000001036561|20200219|3.000 
FL18|000000000001008699|20200219|66.170-
FL18|000000000001008725|20200219|3.450-
FL18|000000000001008733|20200219|13.370-
FL18|000000000001008740|20200219|6.940-
FL18|000000000001008757|20200219|3.980-
FL18|000000000001008780|20200219|1.550-
FL18|000000000001034289|20200219|1.330 
FL18|000000000001036515|20200219|5.290-
FL18|000000000001172641|20200219|4.550-
FL12|000000000001172641|20200219|1.010-
HB02|000000000001008828|20200219|4.800 
HB02|000000000001008880|20200219|24.554 
HB02|000000000001259970|20200219|16.470 
HB02|000000000001347215|20200219|20.000 
FL19|000000000001008727|20200219|0.060-
FL19|000000000001008742|20200219|8.450-
FL19|000000000001008821|20200219|0.380-
FL19|000000000001034289|20200219|0.240-
FL19|000000000001036515|20200219|0.140-
HB04|000000000001034290|20200219|10.000 
DC13|000000000001008792|20200219|14.000 
DC13|000000000001008821|20200219|16.000 
DC13|000000000001026048|20200219|1109.500 
DC13|000000000001027694|20200219|125.000 
DC13|000000000001028698|20200219|556.000 
DC13|000000000001314605|20200219|11.000 
DC13|000000000001219373|20200219|18.000 
DC13|000000000001259970|20200219|1527.500 
DC13|000000000001306074|20200219|37.000 
SM02|000000000001030539|20200219|9.782-
SM02|000000000001036516|20200219|3.938 
SM02|000000000001292556|20200219|9.000 
SM02|000000000001051951|20200219|10.000 
FL01|000000000001008719|20200219|132.550-
FL01|000000000001008726|20200219|8.300-
EC01|000000000001008766|20200219|1.000 
FL01|000000000001008740|20200219|45.320 
EC02|000000000001008887|20200219|1.000-
EC02|000000000001008906|20200219|1.000-
FL01|000000000001013386|20200219|0.070-
EC02|000000000001018612|20200219|1.000-
SM02|000000000001306362|20200219|13.000 
SM02|000000000001306417|20200219|40.000 
FL01|000000000001008909|20200219|16.310 
EC08|000000000001026048|20200219|2.000 
SM02|000000000001306846|20200219|11.000 
SM01|000000000001337938|20200219|11.000-
SM01|000000000001008707|20200219|1.904 
SM01|000000000001008717|20200219|1.164 
SM01|000000000001008742|20200219|7.758 
SM01|000000000001008753|20200219|28.206 
SM01|000000000001008904|20200219|3.602-
SM01|000000000001018598|20200219|4.000 
SM01|000000000001018683|20200219|40.000 
SM02|000000000001008713|20200219|30.554 
SM02|000000000001008887|20200219|7.286 
SM02|000000000001008902|20200219|7.102 
SM01|000000000001356750|20200219|6.000-
SM01|000000000001359559|20200219|1.000-
SM02|000000000001336494|20200219|23.000 
SM02|000000000001336495|20200219|13.000 
SM02|000000000001337946|20200219|1.000 
SM02|000000000001349369|20200219|1.000-
SM02|000000000001356751|20200219|1.000-
SM02|000000000001358047|20200219|9.000 
FL02|000000000001008726|20200219|2.980-
FL02|000000000001008727|20200219|0.330-
FL02|000000000001008756|20200219|3.590-
FL02|000000000001008760|20200219|0.770-
FL02|000000000001008788|20200219|12.420-
FL02|000000000001008815|20200219|0.310-
FL02|000000000001008922|20200219|0.330 
FL02|000000000001008940|20200219|0.130 
FL01|000000000001018598|20200219|1749.000 
FL01|000000000001034290|20200219|12.240-
