"""Plant"""STR:0PLANT|"""Material"""MAT:0MATERIAL|"""Calendar Day"""CALDAY:0CALDAY|"""Sal Qty"""SALEQTY:0CPBAINSABU|"""Sal Ret Val"""SALERET:0RTBAINSASV|"""Sal Ret with Tax"""GROSSVAL:0RTBAINSAST|"""Sal Cost Val"""COSTVAL:0CPBAINSAPV|"""Net Margin"""NETMARGIN:0RTBAINSASV
DC13|000000000001008699|20200214|4.000 |180.00 |180.00 |136.00 |44.00 
FL01|000000000001008699|20200214|23.820 |1270.48 |1270.48 |840.37 |430.11 
FL02|000000000001008699|20200214|2.580 |132.69 |132.69 |123.66 |9.03 
FL03|000000000001008699|20200214|8.160 |364.75 |364.75 |308.37 |56.38 
FL04|000000000001008699|20200214|12.070 |548.54 |548.54 |645.75 |97.21-
FL05|000000000001008699|20200214|19.970 |518.07 |518.07 |358.46 |159.61 
FL06|000000000001008699|20200214|7.370 |208.70 |208.70 |145.78 |62.92 
FL09|000000000001008699|20200214|4.780 |138.00 |138.00 |87.33 |50.67 
FL10|000000000001008699|20200214|3.160 |56.77 |56.77 |54.95 |1.82 
FL12|000000000001008699|20200214|4.230 |77.46 |77.46 |92.34 |14.88-
FL18|000000000001008699|20200214|6.030 |269.68 |269.68 |267.31 |2.37 
FL19|000000000001008699|20200214|6.260 |317.48 |317.48 |219.60 |97.88 
SM01|000000000001008699|20200214|24.454 |758.07 |758.07 |397.12 |360.95 
SM02|000000000001008699|20200214|12.040 |538.92 |538.92 |357.65 |181.27 
SM03|000000000001008699|20200214|21.576 |582.55 |582.55 |350.16 |232.39 
SM04|000000000001008699|20200214|17.410 |470.08 |470.08 |279.44 |190.64 
SM06|000000000001008699|20200214|17.854 |553.48 |553.48 |279.77 |273.71 
SM08|000000000001008699|20200214|11.475 |332.79 |332.79 |184.76 |148.03 
SM09|000000000001008699|20200214|16.001 |464.04 |464.04 |257.79 |206.25 
SM11|000000000001008699|20200214|5.426 |249.60 |249.60 |165.77 |83.83 
SM12|000000000001008699|20200214|10.182 |498.91 |498.91 |285.82 |213.09 
SM13|000000000001008699|20200214|35.739 |1032.77 |1032.77 |578.94 |453.83 
SM14|000000000001008699|20200214|18.004 |558.12 |558.12 |279.81 |278.31 
SM15|000000000001008699|20200214|0.294 |9.41 |9.41 |6.55 |2.86 
SM16|000000000001008699|20200214|25.076 |476.46 |476.46 |403.51 |72.95 
SM17|000000000001008699|20200214|10.262 |277.08 |277.08 |165.84 |111.24 
