"""Plant"""STR:0PLANT|"""Material"""MAT:0MATERIAL|"""Calendar Day"""CALDAY:0CALDAY|"""Sal Qty"""SALEQTY:0CPBAINSABU|"""Sal Ret Val"""SALERET:0RTBAINSASV|"""Sal Ret with Tax"""GROSSVAL:0RTBAINSAST|"""Sal Cost Val"""COSTVAL:0CPBAINSAPV|"""Net Margin"""NETMARGIN:0RTBAINSASV
SM18|000000000001008699|20200214|33.606 |1491.94 |1491.94 |1005.69 |486.25 
SM20|000000000001008699|20200214|6.044 |193.42 |193.42 |133.21 |60.21 
SM22|000000000001008699|20200214|19.084 |935.11 |935.11 |540.08 |395.03 
SM23|000000000001008699|20200214|3.242 |145.89 |145.89 |89.90 |55.99 
SM24|000000000001008699|20200214|5.660 |260.37 |260.37 |171.61 |88.76 
SM25|000000000001008699|20200214|38.510 |963.26 |963.26 |614.26 |349.00 
SM26|000000000001008699|20200214|4.394 |140.63 |140.63 |99.50 |41.13 
SM27|000000000001008699|20200214|4.132 |202.47 |202.47 |125.53 |76.94 
SM28|000000000001008699|20200214|13.818 |690.90 |690.90 |378.03 |312.87 
SM31|000000000001008699|20200214|11.543 |577.15 |577.15 |317.08 |260.07 
SM32|000000000001008699|20200214|2.403 |73.87 |73.87 |54.82 |19.05 
SM34|000000000001008699|20200214|6.244 |181.08 |181.08 |98.15 |82.93 
SM35|000000000001008699|20200214|17.628 |475.94 |475.94 |280.30 |195.64 
SM36|000000000001008699|20200214|15.962 |750.24 |750.24 |426.04 |324.20 
SM37|000000000001008699|20200214|2.606 |117.27 |117.27 |69.64 |47.63 
SM38|000000000001008699|20200214|4.918 |226.24 |226.24 |137.99 |88.25 
SM39|000000000001008699|20200214|3.276 |163.80 |163.80 |95.26 |68.54 
SM40|000000000001008699|20200214|1.044 |48.02 |48.02 |35.27 |12.75 
SM44|000000000001008699|20200214|4.278 |205.35 |205.35 |117.34 |88.01 
SM46|000000000001008699|20200214|14.902 |461.95 |461.95 |227.58 |234.37 
SM47|000000000001008699|20200214|29.842 |865.42 |865.42 |484.04 |381.38 
SM49|000000000001008699|20200214|4.194 |134.21 |134.21 |92.64 |41.57 
ST02|000000000001008699|20200214|38.506 |1146.38 |1146.38 |594.16 |552.22 
ST04|000000000001008699|20200214|75.456 |3311.86 |3311.86 |2123.63 |1188.23 
ST05|000000000001008699|20200214|12.464 |467.64 |467.64 |397.86 |69.78 
ST06|000000000001008699|20200214|14.812 |357.13 |357.13 |240.41 |116.72 
ST10|000000000001008699|20200214|18.429 |770.58 |770.58 |534.76 |235.82 
ST13|000000000001008699|20200214|16.466 |905.63 |905.63 |633.76 |271.87 
ST14|000000000001008699|20200214|8.328 |408.06 |408.06 |217.45 |190.61 
ST16|000000000001008699|20200214|45.842 |2201.18 |2201.18 |1255.54 |945.64 
ST17|000000000001008699|20200214|43.994 |1019.77 |1019.77 |684.17 |335.60 
ST18|000000000001008699|20200214|32.756 |1048.20 |1048.20 |724.87 |323.33 
T001|000000000001008699|20200214|20.618 |1422.62 |1422.62 |1133.99 |288.63 
T012|000000000001008699|20200214|1.860 |130.20 |130.20 |88.99 |41.21 
T020|000000000001008699|20200214|2.226 |146.92 |146.92 |122.43 |24.49 
T022|000000000001008699|20200214|0.842 |50.52 |50.52 |40.41 |10.11 
T023|000000000001008699|20200214|4.366 |240.13 |240.13 |166.60 |73.53 
T024|000000000001008699|20200214|7.282 |502.46 |502.46 |400.51 |101.95 
DC13|000000000001008700|20200214|20.000 |1120.00 |1120.00 |438.12 |681.88 
FL01|000000000001008700|20200214|273.310 |7169.50 |7169.50 |4299.17 |2870.33 
FL02|000000000001008700|20200214|33.560 |890.40 |890.40 |1377.64 |487.24-
FL03|000000000001008700|20200214|101.080 |2629.80 |2629.80 |948.13 |1681.67 
FL04|000000000001008700|20200214|67.720 |1761.70 |1761.70 |658.24 |1103.46 
FL05|000000000001008700|20200214|30.610 |1154.60 |1154.60 |153.05 |1001.55 
FL06|000000000001008700|20200214|22.190 |880.00 |880.00 |110.95 |769.05 
FL09|000000000001008700|20200214|4.140 |163.80 |163.80 |20.70 |143.10 
FL10|000000000001008700|20200214|6.320 |249.30 |249.30 |142.64 |106.66 
FL12|000000000001008700|20200214|10.250 |388.10 |388.10 |216.28 |171.82 
FL18|000000000001008700|20200214|35.010 |911.60 |911.60 |2351.27 |1439.67-
FL19|000000000001008700|20200214|21.130 |540.30 |540.30 |481.76 |58.54 
SM01|000000000001008700|20200214|108.248 |4329.92 |4329.92 |3178.18 |1151.74 
SM02|000000000001008700|20200214|243.924 |6615.01 |6615.01 |5110.35 |1504.66 
SM03|000000000001008700|20200214|173.488 |5031.19 |5031.19 |5024.20 |6.99 
SM04|000000000001008700|20200214|141.684 |4108.80 |4108.80 |4103.15 |5.65 
SM06|000000000001008700|20200214|78.434 |3137.36 |3137.36 |2265.95 |871.41 
SM08|000000000001008700|20200214|52.482 |1889.33 |1889.33 |1545.09 |344.24 
SM09|000000000001008700|20200214|77.957 |2806.46 |2806.46 |2281.01 |525.45 
SM11|000000000001008700|20200214|141.668 |3683.38 |3683.38 |2933.93 |749.45 
SM12|000000000001008700|20200214|56.968 |1879.96 |1879.96 |1365.51 |514.45 
SM13|000000000001008700|20200214|100.186 |3945.43 |3945.43 |2908.37 |1037.06 
SM14|000000000001008700|20200214|71.084 |2843.36 |2843.36 |2098.37 |744.99 
SM15|000000000001008700|20200214|21.372 |662.54 |662.54 |528.95 |133.59 
SM16|000000000001008700|20200214|98.796 |3359.10 |3359.10 |2858.19 |500.91 
SM17|000000000001008700|20200214|63.544 |1842.75 |1842.75 |1879.61 |36.86-
SM18|000000000001008700|20200214|228.842 |6278.03 |6278.03 |4691.65 |1586.38 
SM20|000000000001008700|20200214|40.749 |1263.20 |1263.20 |1025.24 |237.96 
SM22|000000000001008700|20200214|144.448 |4766.80 |4766.80 |3563.53 |1203.27 
SM23|000000000001008700|20200214|64.894 |1946.82 |1946.82 |1548.40 |398.42 
SM24|000000000001008700|20200214|141.374 |3675.71 |3675.71 |2961.77 |713.94 
SM25|000000000001008700|20200214|213.208 |6219.42 |6219.42 |6281.17 |61.75-
SM26|000000000001008700|20200214|28.000 |867.98 |867.98 |683.73 |184.25 
SM27|000000000001008700|20200214|33.534 |972.48 |972.48 |763.57 |208.91 
SM28|000000000001008700|20200214|108.598 |3149.35 |3149.35 |2222.98 |926.37 
SM31|000000000001008700|20200214|83.885 |2852.07 |2852.07 |1993.13 |858.94 
SM32|000000000001008700|20200214|43.449 |1350.68 |1350.68 |1074.50 |276.18 
SM34|000000000001008700|20200214|36.304 |1306.94 |1306.94 |1064.79 |242.15 
SM35|000000000001008700|20200214|88.730 |2573.18 |2573.18 |2587.37 |14.19-
SM36|000000000001008700|20200214|117.934 |3773.85 |3773.85 |2743.11 |1030.74 
SM37|000000000001008700|20200214|82.458 |2473.74 |2473.74 |1974.85 |498.89 
SM38|000000000001008700|20200214|79.104 |2056.67 |2056.67 |1657.23 |399.44 
SM39|000000000001008700|20200214|24.462 |709.42 |709.42 |514.93 |194.49 
SM40|000000000001008700|20200214|39.560 |1028.59 |1028.59 |867.93 |160.66 
SM44|000000000001008700|20200214|92.986 |2603.61 |2603.61 |1931.35 |672.26 
SM46|000000000001008700|20200214|71.480 |2859.20 |2859.20 |2099.39 |759.81 
SM47|000000000001008700|20200214|83.430 |3003.48 |3003.48 |2445.34 |558.14 
SM49|000000000001008700|20200214|48.752 |1511.29 |1511.29 |1255.41 |255.88 
ST02|000000000001008700|20200214|131.546 |5200.60 |5200.60 |3830.59 |1370.01 
ST04|000000000001008700|20200214|670.214 |17558.33 |17558.33 |14295.20 |3263.13 
ST05|000000000001008700|20200214|196.046 |4614.36 |4614.36 |4009.26 |605.10 
ST06|000000000001008700|20200214|142.028 |4130.73 |4130.73 |4118.80 |11.93 
ST10|000000000001008700|20200214|161.855 |4774.47 |4774.47 |3805.36 |969.11 
ST13|000000000001008700|20200214|71.336 |2354.11 |2354.11 |1786.95 |567.16 
ST14|000000000001008700|20200214|107.740 |3555.42 |3555.42 |2535.09 |1020.33 
ST16|000000000001008700|20200214|203.752 |6378.25 |6378.25 |4735.82 |1642.43 
ST17|000000000001008700|20200214|146.056 |5078.54 |5078.54 |4232.55 |845.99 
ST18|000000000001008700|20200214|199.884 |6196.41 |6196.41 |5005.11 |1191.30 
T001|000000000001008700|20200214|160.716 |6428.64 |6428.64 |4964.52 |1464.12 
T020|000000000001008700|20200214|33.712 |1281.05 |1281.05 |1122.95 |158.10 
T023|000000000001008700|20200214|19.688 |649.69 |649.69 |483.72 |165.97 
T024|000000000001008700|20200214|87.052 |3482.08 |3482.08 |2847.42 |634.66 
T001|000000000001008701|20200214|3.174 |66.66 |66.66 |59.70 |6.96 
T020|000000000001008701|20200214|31.414 |659.70 |659.70 |565.46 |94.24 
T024|000000000001008701|20200214|71.566 |1502.90 |1502.90 |1288.91 |213.99 
T012|000000000001008702|20200214|25.094 |200.77 |200.77 |125.71 |75.06 
T021|000000000001008702|20200214|21.286 |170.30 |170.30 |117.71 |52.59 
T022|000000000001008702|20200214|7.352 |51.46 |51.46 |44.12 |7.34 
ST13|000000000001008703|20200214|38.916 |1400.95 |1400.95 |1047.62 |353.33 
T001|000000000001008703|20200214|231.150 |5085.33 |5085.33 |4227.66 |857.67 
T023|000000000001008703|20200214|18.456 |664.42 |664.42 |479.86 |184.56 
T024|000000000001008703|20200214|0.610 |13.42 |13.42 |12.20 |1.22 
FL01|000000000001008704|20200214|75.250 |1931.30 |1931.30 |1495.21 |436.09 
FL02|000000000001008704|20200214|11.110 |287.90 |287.90 |202.65 |85.25 
FL03|000000000001008704|20200214|21.770 |567.80 |567.80 |323.72 |244.08 
FL04|000000000001008704|20200214|17.700 |455.80 |455.80 |307.27 |148.53 
FL05|000000000001008704|20200214|10.480 |574.80 |574.80 |306.54 |268.26 
FL06|000000000001008704|20200214|0.750 |43.50 |43.50 |31.79 |11.71 
FL09|000000000001008704|20200214|0.490 |29.60 |29.60 |19.56 |10.04 
FL10|000000000001008704|20200214|3.440 |190.80 |190.80 |144.76 |46.04 
SM01|000000000001008704|20200214|21.672 |1278.64 |1278.64 |821.16 |457.48 
SM02|000000000001008704|20200214|62.636 |1645.37 |1645.37 |1159.41 |485.96 
SM03|000000000001008704|20200214|12.326 |727.24 |727.24 |461.13 |266.11 
SM04|000000000001008704|20200214|7.430 |438.36 |438.36 |272.38 |165.98 
SM06|000000000001008704|20200214|28.442 |1678.08 |1678.08 |1086.23 |591.85 
SM08|000000000001008704|20200214|10.383 |612.60 |612.60 |388.32 |224.28 
SM09|000000000001008704|20200214|6.976 |411.59 |411.59 |259.71 |151.88 
SM11|000000000001008704|20200214|28.514 |737.65 |737.65 |536.06 |201.59 
SM12|000000000001008704|20200214|31.880 |1083.89 |1083.89 |704.20 |379.69 
SM13|000000000001008704|20200214|41.847 |2459.56 |2459.56 |1605.69 |853.87 
SM14|000000000001008704|20200214|24.698 |1457.17 |1457.17 |931.09 |526.08 
SM16|000000000001008704|20200214|23.700 |1182.62 |1182.62 |900.59 |282.03 
SM17|000000000001008704|20200214|5.682 |335.24 |335.24 |212.33 |122.91 
SM18|000000000001008704|20200214|80.636 |2277.82 |2277.82 |1491.25 |786.57 
SM20|000000000001008704|20200214|4.764 |176.26 |176.26 |130.44 |45.82 
SM22|000000000001008704|20200214|77.946 |2650.16 |2650.16 |1714.83 |935.33 
SM23|000000000001008704|20200214|26.074 |782.22 |782.22 |573.62 |208.60 
SM24|000000000001008704|20200214|60.482 |1572.52 |1572.52 |1132.83 |439.69 
SM25|000000000001008704|20200214|33.064 |1935.68 |1935.68 |1245.84 |689.84 
SM26|000000000001008704|20200214|2.390 |88.43 |88.43 |64.22 |24.21 
SM27|000000000001008704|20200214|30.444 |578.44 |578.44 |487.10 |91.34 
SM28|000000000001008704|20200214|39.658 |1189.74 |1189.74 |744.39 |445.35 
SM31|000000000001008704|20200214|46.793 |1637.82 |1637.82 |1029.46 |608.36 
SM32|000000000001008704|20200214|0.795 |29.42 |29.42 |23.85 |5.57 
SM35|000000000001008704|20200214|4.304 |253.94 |253.94 |162.73 |91.21 
SM36|000000000001008704|20200214|46.020 |1472.62 |1472.62 |1012.42 |460.20 
SM37|000000000001008704|20200214|32.734 |982.02 |982.02 |719.50 |262.52 
SM38|000000000001008704|20200214|20.352 |529.16 |529.16 |384.85 |144.31 
SM39|000000000001008704|20200214|17.722 |531.66 |531.66 |329.99 |201.67 
SM40|000000000001008704|20200214|0.128 |3.33 |3.33 |2.32 |1.01 
SM44|000000000001008704|20200214|26.352 |737.87 |737.87 |483.29 |254.58 
SM46|000000000001008704|20200214|21.590 |1273.81 |1273.81 |823.90 |449.91 
SM47|000000000001008704|20200214|9.016 |531.94 |531.94 |331.54 |200.40 
ST02|000000000001008704|20200214|48.098 |2770.85 |2770.85 |1832.06 |938.79 
ST04|000000000001008704|20200214|253.126 |6708.52 |6708.52 |4578.26 |2130.26 
ST05|000000000001008704|20200214|41.627 |912.83 |912.83 |751.37 |161.46 
ST06|000000000001008704|20200214|16.824 |992.62 |992.62 |646.39 |346.23 
ST10|000000000001008704|20200214|76.534 |2257.51 |2257.51 |1690.66 |566.85 
ST13|000000000001008704|20200214|39.376 |1653.79 |1653.79 |1217.12 |436.67 
ST14|000000000001008704|20200214|43.180 |1468.11 |1468.11 |949.98 |518.13 
ST16|000000000001008704|20200214|80.734 |2745.02 |2745.02 |1782.59 |962.43 
ST17|000000000001008704|20200214|30.774 |1606.46 |1606.46 |1155.60 |450.86 
ST18|000000000001008704|20200214|35.482 |1312.81 |1312.81 |991.04 |321.77 
T001|000000000001008704|20200214|104.536 |2927.01 |2927.01 |1999.72 |927.29 
T012|000000000001008704|20200214|10.442 |261.05 |261.05 |187.66 |73.39 
T020|000000000001008704|20200214|17.410 |452.64 |452.64 |330.81 |121.83 
T022|000000000001008704|20200214|3.174 |76.17 |76.17 |60.24 |15.93 
T023|000000000001008704|20200214|9.682 |406.64 |406.64 |274.49 |132.15 
T024|000000000001008704|20200214|29.162 |816.53 |816.53 |531.90 |284.63 
FL02|000000000001008705|20200214|0.270 |10.40 |10.40 |10.07 |0.33 
FL03|000000000001008705|20200214|1.820 |73.20 |73.20 |87.78 |14.58-
FL05|000000000001008705|20200214|4.710 |211.70 |211.70 |160.71 |50.99 
FL06|000000000001008705|20200214|7.520 |341.80 |341.80 |159.65 |182.15 
FL09|000000000001008705|20200214|3.610 |176.40 |176.40 |117.87 |58.53 
FL10|000000000001008705|20200214|0.520 |23.50 |23.50 |15.34 |8.16 
FL12|000000000001008705|20200214|0.520 |25.20 |25.20 |2.60 |22.60 
FL19|000000000001008705|20200214|1.520 |97.40 |97.40 |66.18 |31.22 
SM01|000000000001008705|20200214|19.060 |1105.46 |1105.46 |533.65 |571.81 
SM02|000000000001008705|20200214|1.550 |75.75 |75.75 |35.91 |39.84 
SM03|000000000001008705|20200214|21.424 |1114.06 |1114.06 |606.55 |507.51 
SM04|000000000001008705|20200214|37.114 |1929.92 |1929.92 |1039.20 |890.72 
SM06|000000000001008705|20200214|12.530 |726.72 |726.72 |353.23 |373.49 
SM08|000000000001008705|20200214|13.184 |725.14 |725.14 |369.17 |355.97 
SM09|000000000001008705|20200214|18.139 |997.68 |997.68 |507.90 |489.78 
SM12|000000000001008705|20200214|1.192 |71.52 |71.52 |49.36 |22.16 
SM13|000000000001008705|20200214|25.377 |1367.44 |1367.44 |710.57 |656.87 
SM14|000000000001008705|20200214|14.282 |828.34 |828.34 |400.48 |427.86 
SM15|000000000001008705|20200214|5.128 |200.00 |200.00 |153.22 |46.78 
SM16|000000000001008705|20200214|21.078 |611.27 |611.27 |590.20 |21.07 
SM17|000000000001008705|20200214|13.824 |718.85 |718.85 |387.07 |331.78 
SM20|000000000001008705|20200214|16.677 |650.39 |650.39 |470.10 |180.29 
SM22|000000000001008705|20200214|0.222 |13.32 |13.32 |9.10 |4.22 
SM24|000000000001008705|20200214|1.488 |75.89 |75.89 |34.86 |41.03 
SM25|000000000001008705|20200214|24.444 |1099.90 |1099.90 |687.86 |412.04 
SM26|000000000001008705|20200214|4.752 |185.32 |185.32 |136.18 |49.14 
SM27|000000000001008705|20200214|0.590 |34.81 |34.81 |22.42 |12.39 
SM28|000000000001008705|20200214|4.586 |261.39 |261.39 |107.00 |154.39 
SM31|000000000001008705|20200214|2.282 |136.92 |136.92 |95.75 |41.17 
SM32|000000000001008705|20200214|2.340 |91.27 |91.27 |68.97 |22.30 
SM34|000000000001008705|20200214|4.254 |233.97 |233.97 |119.12 |114.85 
SM35|000000000001008705|20200214|12.364 |642.91 |642.91 |347.80 |295.11 
SM36|000000000001008705|20200214|1.802 |108.12 |108.12 |75.24 |32.88 
SM38|000000000001008705|20200214|1.030 |52.53 |52.53 |23.69 |28.84 
SM39|000000000001008705|20200214|0.554 |31.57 |31.57 |12.98 |18.59 
SM44|000000000001008705|20200214|0.704 |38.01 |38.01 |16.81 |21.20 
SM46|000000000001008705|20200214|1.110 |64.38 |64.38 |30.47 |33.91 
SM47|000000000001008705|20200214|12.778 |702.79 |702.79 |357.79 |345.00 
SM49|000000000001008705|20200214|10.650 |415.35 |415.35 |287.88 |127.47 
ST02|000000000001008705|20200214|26.236 |1506.77 |1506.77 |744.81 |761.96 
ST04|000000000001008705|20200214|6.606 |374.71 |374.71 |165.82 |208.89 
ST05|000000000001008705|20200214|2.616 |85.91 |85.91 |62.38 |23.53 
ST06|000000000001008705|20200214|8.726 |441.96 |441.96 |245.29 |196.67 
ST10|000000000001008705|20200214|2.069 |97.68 |97.68 |85.04 |12.64 
ST14|000000000001008705|20200214|6.242 |374.52 |374.52 |259.99 |114.53 
ST17|000000000001008705|20200214|26.036 |1310.24 |1310.24 |729.02 |581.22 
ST18|000000000001008705|20200214|42.893 |1672.85 |1672.85 |1244.72 |428.13 
T012|000000000001008706|20200214|12.052 |241.04 |241.04 |164.28 |76.76 
T022|000000000001008706|20200214|5.514 |110.28 |110.28 |82.71 |27.57 
FL05|000000000001008707|20200214|0.270 |18.50 |18.50 |32.13 |13.63-
FL06|000000000001008707|20200214|0.220 |15.80 |15.80 |31.02 |15.22-
FL10|000000000001008707|20200214|0.380 |26.20 |26.20 |18.41 |7.79 
SM01|000000000001008707|20200214|1.782 |204.93 |204.93 |81.04 |123.89 
SM03|000000000001008707|20200214|0.936 |107.64 |107.64 |40.98 |66.66 
SM04|000000000001008707|20200214|3.370 |387.55 |387.55 |155.02 |232.53 
SM13|000000000001008707|20200214|3.463 |398.25 |398.25 |157.60 |240.65 
SM25|000000000001008707|20200214|7.302 |825.09 |825.09 |331.54 |493.55 
SM46|000000000001008707|20200214|2.098 |241.27 |241.27 |95.46 |145.81 
SM47|000000000001008707|20200214|2.610 |300.15 |300.15 |120.07 |180.08 
ST02|000000000001008707|20200214|6.782 |751.73 |751.73 |305.69 |446.04 
ST17|000000000001008707|20200214|2.294 |245.22 |245.22 |104.00 |141.22 
T001|000000000001008707|20200214|1.342 |73.81 |73.81 |49.77 |24.04 
T020|000000000001008707|20200214|0.152 |8.36 |8.36 |5.78 |2.58 
T024|000000000001008707|20200214|0.242 |13.31 |13.31 |8.79 |4.52 
FL01|000000000001008708|20200214|10.180 |498.40 |498.40 |281.28 |217.12 
FL02|000000000001008708|20200214|0.420 |22.20 |22.20 |29.21 |7.01-
FL03|000000000001008708|20200214|4.940 |231.70 |231.70 |121.77 |109.93 
FL04|000000000001008708|20200214|1.470 |77.00 |77.00 |110.82 |33.82-
FL05|000000000001008708|20200214|3.710 |109.00 |109.00 |221.56 |112.56-
FL06|000000000001008708|20200214|2.190 |67.90 |67.90 |135.34 |67.44-
FL09|000000000001008708|20200214|0.310 |9.60 |9.60 |15.58 |5.98-
FL10|000000000001008708|20200214|0.580 |17.50 |17.50 |2.90 |14.60 
FL12|000000000001008708|20200214|0.440 |13.20 |13.20 |13.26 |0.06-
FL18|000000000001008708|20200214|1.500 |85.40 |85.40 |49.38 |36.02 
FL19|000000000001008708|20200214|0.970 |61.30 |61.30 |35.01 |26.29 
SM01|000000000001008708|20200214|10.320 |371.54 |371.54 |174.50 |197.04 
SM02|000000000001008708|20200214|2.338 |108.28 |108.28 |65.87 |42.41 
SM03|000000000001008708|20200214|9.748 |350.93 |350.93 |165.70 |185.23 
SM04|000000000001008708|20200214|10.456 |376.42 |376.42 |177.74 |198.68 
SM06|000000000001008708|20200214|9.664 |347.93 |347.93 |164.32 |183.61 
SM08|000000000001008708|20200214|3.656 |131.63 |131.63 |62.08 |69.55 
SM09|000000000001008708|20200214|9.153 |329.50 |329.50 |155.62 |173.88 
SM11|000000000001008708|20200214|1.658 |82.90 |82.90 |46.47 |36.43 
SM12|000000000001008708|20200214|1.722 |111.93 |111.93 |57.63 |54.30 
SM13|000000000001008708|20200214|5.985 |209.96 |209.96 |101.75 |108.21 
SM14|000000000001008708|20200214|7.828 |281.79 |281.79 |132.88 |148.91 
SM15|000000000001008708|20200214|3.960 |138.60 |138.60 |82.18 |56.42 
SM16|000000000001008708|20200214|9.456 |340.43 |340.43 |160.77 |179.66 
SM17|000000000001008708|20200214|7.882 |283.77 |283.77 |133.77 |150.00 
SM18|000000000001008708|20200214|11.216 |579.27 |579.27 |315.34 |263.93 
SM20|000000000001008708|20200214|1.080 |37.80 |37.80 |23.77 |14.03 
SM22|000000000001008708|20200214|5.344 |347.36 |347.36 |178.25 |169.11 
SM23|000000000001008708|20200214|2.324 |151.06 |151.06 |76.54 |74.52 
SM24|000000000001008708|20200214|5.404 |270.20 |270.20 |150.01 |120.19 
SM25|000000000001008708|20200214|20.504 |697.82 |697.82 |348.55 |349.27 
SM26|000000000001008708|20200214|0.728 |25.48 |25.48 |15.83 |9.65 
SM27|000000000001008708|20200214|1.984 |107.14 |107.14 |67.75 |39.39 
SM28|000000000001008708|20200214|4.098 |204.90 |204.90 |114.08 |90.82 
SM31|000000000001008708|20200214|3.809 |247.60 |247.60 |128.05 |119.55 
SM32|000000000001008708|20200214|1.016 |35.56 |35.56 |22.35 |13.21 
SM34|000000000001008708|20200214|6.178 |222.41 |222.41 |104.35 |118.06 
SM35|000000000001008708|20200214|5.604 |201.73 |201.73 |94.89 |106.84 
SM36|000000000001008708|20200214|3.648 |237.12 |237.12 |120.82 |116.30 
SM37|000000000001008708|20200214|4.990 |324.35 |324.35 |166.42 |157.93 
SM38|000000000001008708|20200214|2.642 |132.10 |132.10 |73.24 |58.86 
SM39|000000000001008708|20200214|0.900 |45.00 |45.00 |24.72 |20.28 
SM40|000000000001008708|20200214|0.564 |28.20 |28.20 |14.98 |13.22 
SM44|000000000001008708|20200214|2.776 |138.80 |138.80 |77.09 |61.71 
SM46|000000000001008708|20200214|5.564 |200.31 |200.31 |94.60 |105.71 
SM47|000000000001008708|20200214|2.792 |100.52 |100.52 |47.42 |53.10 
SM49|000000000001008708|20200214|6.882 |240.87 |240.87 |150.37 |90.50 
ST02|000000000001008708|20200214|10.498 |367.16 |367.16 |177.73 |189.43 
ST04|000000000001008708|20200214|32.738 |1426.42 |1426.42 |919.39 |507.03 
ST05|000000000001008708|20200214|5.940 |188.17 |188.17 |159.79 |28.38 
ST06|000000000001008708|20200214|10.638 |375.16 |375.16 |180.85 |194.31 
ST10|000000000001008708|20200214|6.062 |364.86 |364.86 |201.59 |163.27 
ST13|000000000001008708|20200214|7.492 |479.47 |479.47 |356.68 |122.79 
ST14|000000000001008708|20200214|3.060 |198.90 |198.90 |101.35 |97.55 
ST16|000000000001008708|20200214|12.198 |748.74 |748.74 |406.16 |342.58 
ST17|000000000001008708|20200214|13.546 |419.42 |419.42 |230.01 |189.41 
ST18|000000000001008708|20200214|16.308 |570.78 |570.78 |340.03 |230.75 
T001|000000000001008708|20200214|5.748 |316.14 |316.14 |218.60 |97.54 
T012|000000000001008708|20200214|1.626 |89.43 |89.43 |58.42 |31.01 
T020|000000000001008708|20200214|0.402 |22.11 |22.11 |15.29 |6.82 
T021|000000000001008708|20200214|0.682 |34.10 |34.10 |25.92 |8.18 
T022|000000000001008708|20200214|0.372 |22.32 |22.32 |13.02 |9.30 
T023|000000000001008708|20200214|2.424 |155.14 |155.14 |114.91 |40.23 
T024|000000000001008708|20200214|0.168 |9.24 |9.24 |6.09 |3.15 
SM02|000000000001008709|20200214|0.116 |9.51 |9.51 |4.27 |5.24 
SM18|000000000001008709|20200214|0.316 |25.91 |25.91 |10.15 |15.76 
SM28|000000000001008709|20200214|0.870 |71.34 |71.34 |47.85 |23.49 
ST04|000000000001008709|20200214|2.890 |236.97 |236.97 |90.78 |146.19 
ST18|000000000001008709|20200214|1.300 |50.70 |50.70 |38.60 |12.10 
SM28|000000000001008711|20200214|2.000 |20.00 |20.00 |32.00 |12.00-
T001|000000000001008711|20200214|7.000 |182.00 |182.00 |112.00 |70.00 
FL01|000000000001008713|20200214|16.600 |1263.20 |1263.20 |2226.23 |963.03-
FL02|000000000001008713|20200214|2.320 |173.60 |173.60 |143.38 |30.22 
FL03|000000000001008713|20200214|6.390 |481.90 |481.90 |673.06 |191.16-
FL04|000000000001008713|20200214|4.480 |335.40 |335.40 |441.28 |105.88-
FL05|000000000001008713|20200214|3.270 |320.10 |320.10 |322.10 |2.00-
