"""Plant"""STR;0PLANT|"""Material"""MAT;0MATERIAL|"""Calday"""CALDAY;0CALDAY|"""R001/B001 Stock"""STOCK;ZSTOCK
FL08|000000000001008760|20200217|1.830-
FL08|000000000001013375|20200217|1.290-
FL08|000000000001018612|20200217|3.940-
FL08|000000000001036527|20200217|9.560-
FL08|000000000001059050|20200217|0.100-
FL11|000000000001043321|20200217|1.240-
FL12|000000000001008708|20200217|7.780-
FL12|000000000001008726|20200217|1.240-
FL12|000000000001008760|20200217|0.970-
FL12|000000000001008788|20200217|0.240-
FL12|000000000001008791|20200217|0.030-
FL05|000000000001051964|20200217|1.000 
FL05|000000000001069484|20200217|0.030-
FL05|000000000001069494|20200217|0.440-
FL12|000000000001036561|20200217|3.000 
SD23|000000000001008772|20200217|2.000-
SD23|000000000001008864|20200217|4.000 
FL09|000000000001008705|20200217|24.190-
FL09|000000000001008725|20200217|2.530-
FL09|000000000001008753|20200217|5.590-
FL09|000000000001008821|20200217|1.550-
FL09|000000000001008822|20200217|1.830-
FL09|000000000001008899|20200217|1.470 
FL09|000000000001008941|20200217|0.240-
FL12|000000000001172641|20200217|1.010-
SM04|000000000001036528|20200217|2.092 
SM11|000000000001299095|20200217|49.000-
SM11|000000000001306074|20200217|3.000 
SM11|000000000001306438|20200217|1.000-
SM11|000000000001365660|20200217|1.000-
SM11|000000000001306846|20200217|3.000 
SM11|000000000001337958|20200217|3.000-
SM04|000000000001008730|20200217|0.562 
SM04|000000000001008815|20200217|3.162 
SM04|000000000001008821|20200217|0.032 
SM04|000000000001008902|20200217|10.600 
SM11|000000000001272833|20200217|7.000 
SM11|000000000001282463|20200217|21.000 
SM11|000000000001345059|20200217|7.000-
SM04|000000000001018683|20200217|79.000 
SM04|000000000001026259|20200217|18.000-
SM03|000000000001013386|20200217|5.180 
SM03|000000000001013393|20200217|84.220 
SM03|000000000001018598|20200217|72.000 
SM03|000000000001051952|20200217|1.000 
SM03|000000000001306667|20200217|9.000 
SM03|000000000001008729|20200217|2.008 
SM03|000000000001008746|20200217|0.818 
SM03|000000000001008793|20200217|1.870 
SM03|000000000001008871|20200217|9.732 
SM03|000000000001008946|20200217|2.000-
SM14|000000000001283328|20200217|50.000 
SM13|000000000001137057|20200217|24.783-
SM14|000000000001013393|20200217|62.800 
SM14|000000000001018598|20200217|100.000 
SM14|000000000001018823|20200217|52.300 
SM14|000000000001018827|20200217|16.000 
SM14|000000000001026389|20200217|15.000 
SM14|000000000001043321|20200217|95.000 
SM13|000000000001366004|20200217|1.000-
SM13|000000000001298357|20200217|8.000 
SM14|000000000001137057|20200217|52.000 
SM12|000000000001359557|20200217|1.000 
SM12|000000000001359559|20200217|1.000 
SM12|000000000001360191|20200217|11.000-
