"""Plant"""STR:0PLANT|"""Material"""MAT:0MATERIAL|"""Calendar Day"""CALDAY:0CALDAY|"""Sal Qty"""SALEQTY:0CPBAINSABU|"""Sal Ret Val"""SALERET:0RTBAINSASV|"""Sal Ret with Tax"""GROSSVAL:0RTBAINSAST|"""Sal Cost Val"""COSTVAL:0CPBAINSAPV|"""Net Margin"""NETMARGIN:0RTBAINSASV
FL01|000000000001008699|20200218|18.740 |930.90 |930.90 |572.52 |358.38 
FL02|000000000001008699|20200218|1.580 |80.90 |80.90 |75.73 |5.17 
FL03|000000000001008699|20200218|11.820 |652.40 |652.40 |446.68 |205.72 
FL04|000000000001008699|20200218|4.420 |226.20 |226.20 |236.47 |10.27-
FL05|000000000001008699|20200218|15.160 |435.80 |435.80 |272.12 |163.68 
FL06|000000000001008699|20200218|8.370 |238.30 |238.30 |165.56 |72.74 
FL09|000000000001008699|20200218|4.670 |146.40 |146.40 |85.32 |61.08 
FL10|000000000001008699|20200218|5.680 |157.80 |157.80 |98.78 |59.02 
FL12|000000000001008699|20200218|3.690 |102.90 |102.90 |80.55 |22.35 
FL18|000000000001008699|20200218|16.010 |779.40 |779.40 |709.73 |69.67 
FL19|000000000001008699|20200218|1.820 |97.70 |97.70 |63.85 |33.85 
SD23|000000000001008699|20200218|1.000 |12.00 |12.00 |15.00 |3.00-
SM01|000000000001008699|20200218|29.842 |925.08 |925.08 |470.91 |454.17 
SM02|000000000001008699|20200218|18.124 |738.56 |738.56 |467.90 |270.66 
SM03|000000000001008699|20200218|25.418 |686.25 |686.25 |402.11 |284.14 
SM04|000000000001008699|20200218|32.116 |867.13 |867.13 |507.44 |359.69 
SM06|000000000001008699|20200218|28.472 |882.63 |882.63 |449.00 |433.63 
SM08|000000000001008699|20200218|20.200 |585.84 |585.84 |319.80 |266.04 
SM09|000000000001008699|20200218|17.357 |503.36 |503.36 |274.61 |228.75 
SM11|000000000001008699|20200218|6.124 |244.96 |244.96 |157.20 |87.76 
SM12|000000000001008699|20200218|7.958 |413.81 |413.81 |235.23 |178.58 
SM13|000000000001008699|20200218|32.983 |958.43 |958.43 |522.76 |435.67 
SM14|000000000001008699|20200218|19.104 |592.21 |592.21 |300.90 |291.31 
SM15|000000000001008699|20200218|1.604 |57.75 |57.75 |35.47 |22.28 
SM16|000000000001008699|20200218|26.128 |757.71 |757.71 |413.61 |344.10 
SM17|000000000001008699|20200218|8.222 |222.01 |222.01 |129.50 |92.51 
SM18|000000000001008699|20200218|31.876 |1359.00 |1359.00 |837.96 |521.04 
SM22|000000000001008699|20200218|24.898 |1294.69 |1294.69 |744.72 |549.97 
SM23|000000000001008699|20200218|3.282 |157.53 |157.53 |96.30 |61.23 
SM24|000000000001008699|20200218|3.526 |141.04 |141.04 |89.22 |51.82 
SM25|000000000001008699|20200218|46.552 |1167.87 |1167.87 |732.24 |435.63 
SM26|000000000001008699|20200218|2.304 |82.95 |82.95 |52.39 |30.56 
SM27|000000000001008699|20200218|7.446 |364.84 |364.84 |220.70 |144.14 
SM28|000000000001008699|20200218|14.264 |627.64 |627.64 |360.76 |266.88 
SM31|000000000001008699|20200218|16.576 |870.54 |870.54 |486.00 |384.54 
SM32|000000000001008699|20200218|4.101 |147.64 |147.64 |91.65 |55.99 
SM34|000000000001008699|20200218|14.994 |434.81 |434.81 |236.92 |197.89 
SM35|000000000001008699|20200218|5.548 |149.79 |149.79 |86.98 |62.81 
SM36|000000000001008699|20200218|17.848 |892.40 |892.40 |527.93 |364.47 
SM37|000000000001008699|20200218|2.070 |99.36 |99.36 |68.31 |31.05 
SM38|000000000001008699|20200218|2.097 |83.88 |83.88 |53.22 |30.66 
SM39|000000000001008699|20200218|5.320 |234.09 |234.09 |142.00 |92.09 
SM44|000000000001008699|20200218|5.066 |212.75 |212.75 |128.57 |84.18 
SM46|000000000001008699|20200218|22.482 |696.95 |696.95 |353.65 |343.30 
SM47|000000000001008699|20200218|27.908 |809.32 |809.32 |439.29 |370.03 
SM49|000000000001008699|20200218|0.824 |29.67 |29.67 |18.51 |11.16 
ST02|000000000001008699|20200218|27.874 |773.61 |773.61 |435.16 |338.45 
ST04|000000000001008699|20200218|72.728 |2891.07 |2891.07 |1863.27 |1027.80 
ST05|000000000001008699|20200218|17.167 |565.63 |565.63 |488.80 |76.83 
ST06|000000000001008699|20200218|13.466 |324.09 |324.09 |211.41 |112.68 
ST10|000000000001008699|20200218|16.543 |769.62 |769.62 |502.15 |267.47 
ST13|000000000001008699|20200218|14.454 |794.97 |794.97 |531.48 |263.49 
ST14|000000000001008699|20200218|8.014 |416.74 |416.74 |208.62 |208.12 
ST16|000000000001008699|20200218|55.228 |2544.18 |2544.18 |1688.64 |855.54 
ST17|000000000001008699|20200218|22.402 |443.15 |443.15 |351.99 |91.16 
ST18|000000000001008699|20200218|27.414 |986.86 |986.86 |687.27 |299.59 
T001|000000000001008699|20200218|30.024 |2071.63 |2071.63 |1621.29 |450.34 
T012|000000000001008699|20200218|2.072 |145.04 |145.04 |93.20 |51.84 
T020|000000000001008699|20200218|1.872 |123.55 |123.55 |101.09 |22.46 
T021|000000000001008699|20200218|2.476 |146.09 |146.09 |111.42 |34.67 
T022|000000000001008699|20200218|0.990 |59.40 |59.40 |44.06 |15.34 
T023|000000000001008699|20200218|3.088 |169.84 |169.84 |115.73 |54.11 
T024|000000000001008699|20200218|6.828 |471.12 |471.12 |368.70 |102.42 
DC13|000000000001008700|20200218|100.000 |2857.00 |2857.00 |2227.10 |629.90 
FL01|000000000001008700|20200218|26.740 |765.20 |765.20 |420.63 |344.57 
