"""Plant"""STR:0PLANT|"""Material"""MAT:0MATERIAL|"""Calendar Day"""CALDAY:0CALDAY|"""Sal Qty"""SALEQTY:0CPBAINSABU|"""Sal Ret Val"""SALERET:0RTBAINSASV|"""Sal Ret with Tax"""GROSSVAL:0RTBAINSAST|"""Sal Cost Val"""COSTVAL:0CPBAINSAPV|"""Net Margin"""NETMARGIN:0RTBAINSASV
FL01|000000000001008699|20200215|35.580 |1585.18 |1585.18 |1192.28 |392.90 
FL02|000000000001008699|20200215|10.180 |486.77 |486.77 |487.93 |1.16-
FL03|000000000001008699|20200215|13.620 |779.09 |779.09 |514.70 |264.39 
FL04|000000000001008699|20200215|9.300 |466.78 |466.78 |497.55 |30.77-
FL05|000000000001008699|20200215|23.620 |614.47 |614.47 |423.98 |190.49 
FL06|000000000001008699|20200215|11.300 |321.20 |321.20 |223.51 |97.69 
FL09|000000000001008699|20200215|8.760 |251.50 |251.50 |160.05 |91.45 
FL10|000000000001008699|20200215|2.700 |61.19 |61.19 |46.95 |14.24 
FL12|000000000001008699|20200215|0.510 |16.50 |16.50 |11.13 |5.37 
FL18|000000000001008699|20200215|27.470 |1233.59 |1233.59 |1217.74 |15.85 
FL19|000000000001008699|20200215|6.420 |315.99 |315.99 |225.21 |90.78 
HB04|000000000001008699|20200215|9.000-|0.00 |0.00 |198.00-|198.00 
SM01|000000000001008699|20200215|86.374 |1900.21 |1900.21 |1349.14 |551.07 
SM02|000000000001008699|20200215|32.838 |1254.65 |1254.65 |922.36 |332.29 
SM03|000000000001008699|20200215|72.620 |1597.68 |1597.68 |1131.40 |466.28 
SM04|000000000001008699|20200215|76.344 |1679.58 |1679.58 |1194.04 |485.54 
SM06|000000000001008699|20200215|57.894 |1273.65 |1273.65 |903.71 |369.94 
SM08|000000000001008699|20200215|83.291 |1832.41 |1832.41 |1300.22 |532.19 
SM09|000000000001008699|20200215|52.282 |1150.21 |1150.21 |817.11 |333.10 
SM11|000000000001008699|20200215|15.512 |620.48 |620.48 |455.12 |165.36 
SM12|000000000001008699|20200215|13.918 |612.38 |612.38 |377.30 |235.08 
SM13|000000000001008699|20200215|108.239 |2330.64 |2330.64 |1689.65 |640.99 
SM14|000000000001008699|20200215|50.840 |1118.50 |1118.50 |791.58 |326.92 
